ID,Title,Definition
entity,WHO Family of International Classifications Foundation,No definition available
448895267,ICD Entity,No definition available
455013390,ICD Category,No definition available
1435254666,Certain infectious or parasitic diseases,"This chapter includes certain conditions caused by pathogenic organisms or microorganisms, such as bacteria, viruses, parasites or fungi."
588616678,Gastroenteritis or colitis of infectious origin,No definition available
135352227,Bacterial intestinal infections,"Any condition of the intestines, caused by an infection with a bacterial source."
257068234,Cholera,"Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. Cholera outbreaks are caused by toxigenic strains of Vibrio cholerae serogroups O1 and O139. Serogroup O1 has two biovars; classical and eltor. Vibrio cholerae O1, biovar cholerae is classical type. Vibrio cholerae O1, biovar eltor is eltor type."
1170831944,"Enteritis due to cholera due to Vibrio cholerae, non-O1 strains",No definition available
1205958647,"Cholera due to Vibrio cholerae O1, biovar cholerae",No definition available
1384028266,"Enteritis due to Cholera due to Vibrio cholerae O1, biovar cholerae","This refers to inflammation of the small intestine due to the bacterium Vibrio cholerae O1, biovar cholerae."
581614179,"Cholera due to Vibrio cholerae O1, biovar eltor",No definition available
375406584,"Enteritis due to cholera due to Vibrio cholerae O1, biovar eltor","This refers to inflammation of the small intestine due to the bacterium Vibrio cholerae O1, biovar eltor."
1972085775,Cholera due to Vibrio cholerae O139,No definition available
416025325,Intestinal infection due to other Vibrio,No definition available
59746265,Infections due to Vibrio parahaemolyticus,No definition available
357187319,Foodborne Vibrio parahaemolyticus intoxication,"Foodborne Vibrio parahaemolyticus intoxication is gastroenteritis caused by attaching V. parahaemolyticus to an individuals' small intestine and excreting an as yet unidentified toxin. The incubation period is a mean of 15 hours after the ingestion of the organism. The symptoms with usually mild or moderate include diarrhoea, abdominal cramps, nausea, vomiting, headache, fever, and chills."
830895072,Infections due to Vibrio vulnificus,No definition available
1561949126,Intestinal infections due to Salmonella,Any condition caused by an infection with the gram-negative bacteria genus Salmonella.
